file_name,training_time(s),test_result_loss,test_result_acc,train_result_acc,train_result_loss,nb_layers,epochs
architecture_1,85.45294570922852,0.39165255427360535,0.8715000152587891,0.8668000102043152,0.40192753076553345,49,1
architecture_2,496.55132818222046,1.6509175300598145,0.722599983215332,0.710183322429657,1.7305773496627808,83,1
architecture_3,63.08269000053406,0.5532054901123047,0.8489000201225281,0.8436833620071411,0.5815882086753845,107,1
architecture_4,1821.1223783493042,2.430640935897827,0.09799999743700027,0.09871666878461838,2.427119493484497,374,1
architecture_5,35.91605281829834,0.3954985737800598,0.8708999752998352,0.8654166460037231,0.4106923043727875,23,1
architecture_6,241.41088891029358,0.18130525946617126,0.9467999935150146,0.9446499943733215,0.18420882523059845,350,1
architecture_7,17.084728956222534,0.5249226093292236,0.8263999819755554,0.8148000240325928,0.5634632110595703,29,1
architecture_8,192.1878252029419,1.9269695281982422,0.4902999997138977,0.47778332233428955,1.9625216722488403,31,1
architecture_9,1290.442637205124,0.6727356314659119,0.7897999882698059,0.7775499820709229,0.6992257237434387,90,1
architecture_10,115.18169283866882,2.024918794631958,0.23420000076293945,0.22965000569820404,2.037515640258789,260,1
architecture_1,48.56177473068237,0.16568031907081604,0.9495000243186951,0.9459333419799805,0.17172349989414215,40,1
architecture_2,3528.6919848918915,3.417710542678833,0.3068999946117401,0.3043999969959259,3.42030668258667,395,1
architecture_3,4626.932648658752,0.15727771818637848,0.9527999758720398,0.951616644859314,0.1589498668909073,158,1
architecture_4,48.28648614883423,0.8059948682785034,0.7421000003814697,0.7349500060081482,0.8183209896087646,73,1
architecture_5,214.44873547554016,0.8278123140335083,0.7955999970436096,0.8007333278656006,0.8219349384307861,134,1
architecture_6,3006.1087038517,0.15810060501098633,0.95660001039505,0.9523166418075562,0.17192670702934265,99,1
architecture_7,323.2526915073395,0.7903004288673401,0.7786999940872192,0.7763833403587341,0.8248695731163025,62,1
architecture_8,959.3394615650177,0.21861229836940765,0.9574999809265137,0.9548166394233704,0.21976393461227417,64,1
architecture_9,4439.450650215149,0.3899616301059723,0.9049999713897705,0.8987333178520203,0.40577808022499084,193,1
architecture_10,31.925409078598022,1.1164484024047852,0.6392999887466431,0.6374333500862122,1.1181260347366333,124,1
architecture_1,0,,,,,not build,0
architecture_1,29.387144804000854,0.11141390353441238,0.9646999835968018,0.9657666683197021,0.1101168543100357,40,1
architecture_1,36.94949412345886,0.12502186000347137,0.963100016117096,0.9657999873161316,0.11666801571846008,40,1
architecture_1,28.521143436431885,0.12858779728412628,0.9609000086784363,0.959933340549469,0.1294061541557312,40,1
