file_name,training_time(s),test_result_loss,test_result_acc,train_result_acc,train_result_loss,nb_layers,epochs
architecture_1,1152.3185110092163,2.2551259994506836,0.38670000433921814,0.3793833255767822,2.294966459274292,342,11
architecture_2,355.71613121032715,0.06654846668243408,0.9884999990463257,0.9932000041007996,0.03504118323326111,17,56
architecture_3,2425.144377708435,0.2632054090499878,0.9908999800682068,0.9918166399002075,0.8742998838424683,66,47
architecture_4,1361.0961158275604,0.04802190512418747,0.9854999780654907,0.9870499968528748,0.04486468806862831,204,36
architecture_5,247.64211416244507,0.29706230759620667,0.9599999785423279,0.9755666851997375,0.13151924312114716,10,76
architecture_6,230.9980661869049,0.18216538429260254,0.9661999940872192,0.9885666370391846,0.059384893625974655,6,72
architecture_7,2859.2370903491974,0.3367847800254822,0.9070000052452087,0.9003666639328003,0.35918673872947693,191,39
architecture_8,568.4033961296082,0.05633333697915077,0.9832000136375427,0.9905666708946228,0.03178394213318825,40,47
architecture_9,843.2530686855316,0.2449488341808319,0.9275000095367432,0.9319999814033508,0.22158673405647278,64,71
architecture_10,102.54473948478699,0.404285192489624,0.8780999779701233,0.8709999918937683,0.4321042001247406,35,10
