file_name,training_time(s),test_result_loss,test_result_acc,train_result_acc,train_result_loss,nb_layers,epochs
architecture_1,1282.2454805374146,1.39620041847229,0.5223000049591064,0.6205400228500366,1.074336051940918,33,200
architecture_2,2009.5958189964294,2.2427430152893066,0.5812000036239624,0.8540400266647339,0.7324429750442505,68,99
architecture_3,2790.6295881271362,1.3990273475646973,0.5049999952316284,0.5238999724388123,1.3505924940109253,39,154
architecture_4,1224.7537741661072,2.3897202014923096,0.5945000052452087,0.8216800093650818,0.8825427293777466,31,107
architecture_5,1836.2953581809998,1.2561769485473633,0.6425999999046326,0.8510800004005432,0.5150559544563293,26,143
architecture_6,1608.7910046577454,2.7241411209106445,0.5386000275611877,0.7685199975967407,1.0853121280670166,26,127
architecture_7,1897.5935096740723,3.379953622817993,0.23180000483989716,0.22985999286174774,3.3799118995666504,41,109
architecture_8,5351.144675254822,0.972148060798645,0.745199978351593,0.8577200174331665,0.4682298004627228,124,59
architecture_9,374.1188931465149,0.8967751264572144,0.6797000169754028,0.730679988861084,0.7717835903167725,12,120
architecture_10,10212.667560815811,0.9916967749595642,0.6513000130653381,0.7028800249099731,0.873252272605896,121,87
